dgst,year_from,validity_period
8298c7814b3b2860,2022,5.002739726027397
9a1c767d358eee50,2022,5.002739726027397
979e00ac7d3e229c,2021,5.002739726027397
a6015339aa4434cf,2021,5.002739726027397
a89ee15539d006d1,2021,5.002739726027397
309ac2fd7f2dcf17,2020,5.002739726027397
8cf86948f02f047d,2019,5.005479452054795
0fc32111e368dcf5,2019,5.005479452054795
5e87de1cddf1ae43,2019,5.005479452054795
073b442ab4f199e8,2019,5.005479452054795
86fd4192ee4f60c4,2019,5.005479452054795
857ed490aef924f3,2019,5.005479452054795
f92f8bdcc08ad875,2019,5.002739726027397
306aea974282ec5a,2018,5.0
77cfa16b7ed7975f,2022,5.002739726027397
3d134992178f0998,2022,5.002739726027397
d6845a4779a1871b,2022,5.002739726027397
020b613bf62854a4,2022,5.002739726027397
56ee0b25701f3faa,2022,5.002739726027397
5d7bc966fb223e81,2022,5.002739726027397
3dc6e1ebe7dd5584,2022,5.002739726027397
8399cb3bd1ac37d1,2022,5.002739726027397
b2aea954a265af60,2022,4.002739726027397
28819ed8f96586bc,2021,5.002739726027397
d8d4e73e8ed036ba,2021,5.002739726027397
33ab14654015f354,2021,5.002739726027397
f9940dd4b8f22bd3,2021,5.002739726027397
9696ad927a40c1d4,2021,4.964383561643835
42632dc757d68962,2021,5.002739726027397
ef1fba0df82eb56e,2021,5.002739726027397
ac5e56e41a0b950e,2021,5.002739726027397
a47e5a70da056b0e,2020,5.002739726027397
98c1ac41aedcdae2,2020,5.0
1f061d2b3f2e51d1,2020,5.002739726027397
c90fcc08848df7d2,2020,5.0
c86ac51df89ef285,2020,5.0
2f19fd5f24f35db2,2020,5.002739726027397
878aeae2d388379e,2020,5.002739726027397
a4b2519ed55d4399,2019,5.005479452054795
bada598156abca4d,2019,5.005479452054795
8a0636d434d487be,2019,5.005479452054795
442a2ad93001ee3a,2019,5.005479452054795
b7f814ed16f2ecca,2019,5.005479452054795
beff0ccfcd89f57c,2019,5.005479452054795
5e381eae3e8a250c,2019,5.002739726027397
8a5e6bcda602920c,2019,5.010958904109589
35e5033860514212,2018,5.002739726027397
061414c95aabe91e,2022,5.002739726027397
