,precision,recall,f1-score,support
COMPONENT_USED,0.89375,0.9862068965517241,0.9377049180327869,145.0
PREVIOUS_VERSION,0.9354838709677419,0.6304347826086957,0.7532467532467533,46.0
accuracy,0.900523560209424,0.900523560209424,0.900523560209424,0.900523560209424
macro avg,0.9146169354838709,0.80832083958021,0.84547583563977,191.0
weighted avg,0.9038010893430164,0.900523560209424,0.8932804385555222,191.0
