,precision,recall,f1-score,support
COMPONENT_USED,0.7591623036649214,1.0,0.863095238095238,145.0
PREVIOUS_VERSION,0.0,0.0,0.0,46.0
accuracy,0.7591623036649214,0.7591623036649214,0.7591623036649214,0.7591623036649214
macro avg,0.3795811518324607,0.5,0.431547619047619,191.0
weighted avg,0.5763274033058304,0.7591623036649214,0.6552293692346048,191.0
