,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_epochs,params_n_iterations,params_segmenter_metric,state
17,17,0.514098017176468,2023-11-14 14:55:59.512124,2023-11-14 15:05:07.532185,0 days 00:09:08.020061,6.929823768000019e-05,1,18,f1,COMPLETE
18,18,0.5032683304778638,2023-11-14 15:05:07.536770,2023-11-14 15:18:29.192135,0 days 00:13:21.655365,3.06216079231076e-05,3,9,balanced_accuracy,COMPLETE
19,19,0.44878597073234605,2023-11-14 15:18:29.195606,2023-11-14 15:23:42.861191,0 days 00:05:13.665585,0.0001692220921820019,2,5,accuracy,COMPLETE
20,20,0.4625948034091033,2023-11-14 15:23:42.864627,2023-11-14 15:50:28.990786,0 days 00:26:46.126159,0.0006202767247934422,5,11,balanced_accuracy,COMPLETE
21,21,0.5216168141689492,2023-11-14 15:50:28.994131,2023-11-14 16:00:02.434898,0 days 00:09:33.440767,6.22051627137438e-05,1,19,f1,COMPLETE
22,22,0.4900815172910506,2023-11-14 16:00:02.438372,2023-11-14 16:09:37.195408,0 days 00:09:34.757036,2.4672907182581802e-05,1,19,f1,COMPLETE
23,23,0.4520684876196296,2023-11-14 16:09:37.200538,2023-11-14 16:24:25.602276,0 days 00:14:48.401738,6.524880923212578e-05,2,15,f1,COMPLETE
24,24,0.3983521939827799,2023-11-14 16:24:25.605619,2023-11-14 16:34:30.425859,0 days 00:10:04.820240,1.0165955790378534e-05,1,20,f1,COMPLETE
25,25,0.42805198773421216,2023-11-14 16:34:30.435664,2023-11-14 17:03:39.447009,0 days 00:29:09.011345,0.0001213409273692713,2,30,f1,COMPLETE
26,26,0.5299453277606208,2023-11-14 17:03:39.451423,2023-11-14 17:08:26.067327,0 days 00:04:46.615904,4.054364230417113e-05,1,9,f1,COMPLETE
27,27,0.45882121850344293,2023-11-14 17:08:26.072722,2023-11-14 17:16:34.042060,0 days 00:08:07.969338,2.241568884143379e-05,2,8,f1,COMPLETE
28,28,0.4971376190839944,2023-11-14 17:16:34.049149,2023-11-14 17:22:20.831223,0 days 00:05:46.782074,0.0002992354222999433,1,11,accuracy,COMPLETE
29,29,0.4472101880244879,2023-11-14 17:22:20.836961,2023-11-14 17:29:34.339356,0 days 00:07:13.502395,0.00041681994802817324,2,7,balanced_accuracy,COMPLETE
30,30,0.49760031428353174,2023-11-14 17:29:34.345578,2023-11-14 17:50:04.977653,0 days 00:20:30.632075,4.4046671611116355e-05,3,14,f1,COMPLETE
31,31,0.45394764123661835,2023-11-14 17:50:04.981445,2023-11-14 17:55:21.119658,0 days 00:05:16.138213,1.971781284656309e-05,1,10,f1,COMPLETE
32,32,0.5167585145738075,2023-11-14 17:55:21.122925,2023-11-14 18:05:53.987694,0 days 00:10:32.864769,4.699015872551441e-05,1,21,f1,COMPLETE
33,33,0.45584207252528997,2023-11-14 18:05:53.991119,2023-11-14 18:12:34.164638,0 days 00:06:40.173519,0.00011617548214442476,1,13,f1,COMPLETE
34,34,0.4938551021967109,2023-11-14 18:12:34.167873,2023-11-14 18:29:15.579856,0 days 00:16:41.411983,1.6242602981679485e-05,2,17,f1,COMPLETE
35,35,0.45660813863395794,2023-11-14 18:29:15.583557,2023-11-14 18:32:36.067842,0 days 00:03:20.484285,4.000455630591098e-05,1,6,f1,COMPLETE
36,36,0.505466132675666,2023-11-14 18:32:36.075409,2023-11-14 19:08:53.164267,0 days 00:36:17.088858,1.9625370400514167e-05,3,25,f1,COMPLETE
37,37,0.49979811648133393,2023-11-14 19:08:53.167888,2023-11-14 19:15:05.986379,0 days 00:06:12.818491,8.345547091555799e-05,1,12,balanced_accuracy,COMPLETE
38,38,0.4355991575455329,2023-11-14 19:15:05.990232,2023-11-14 19:52:47.914666,0 days 00:37:41.924434,4.615520858977813e-05,2,39,accuracy,COMPLETE
39,39,0.48283771838886036,2023-11-14 19:52:47.918085,2023-11-14 20:44:46.875792,0 days 00:51:58.957707,1.6816036529757097e-05,4,27,f1,COMPLETE
40,40,0.44154217183015587,2023-11-14 20:44:46.884058,2023-11-14 20:55:16.061092,0 days 00:10:29.177034,7.326335855370502e-05,1,21,balanced_accuracy,COMPLETE
41,41,0.49871340179185264,2023-11-14 20:55:16.068391,2023-11-14 21:06:14.483728,0 days 00:10:58.415337,4.2073300706840954e-05,1,22,f1,COMPLETE
42,42,0.46794417102262187,2023-11-14 21:06:14.490471,2023-11-14 21:13:51.677004,0 days 00:07:37.186533,3.505306580985066e-05,1,15,f1,COMPLETE
43,43,0.4795552015015769,2023-11-14 21:13:51.683880,2023-11-14 21:25:46.789962,0 days 00:11:55.106082,1.5046839682907452e-05,1,24,f1,COMPLETE
44,44,0.5388958608422362,2023-11-14 21:25:46.794254,2023-11-14 21:33:52.977023,0 days 00:08:06.182769,5.624157769422756e-05,2,8,f1,COMPLETE
45,45,0.46934753429291665,2023-11-14 21:33:52.985071,2023-11-14 21:45:49.814322,0 days 00:11:56.829251,0.0001003966865679907,3,8,f1,COMPLETE
