,number,value,datetime_start,datetime_complete,duration,params_l2_leaf_reg,params_learning_rate,params_tree_depth,state
0,0,0.7067673992673993,2023-11-16 07:14:44.369573,2023-11-16 07:17:24.338420,0 days 00:02:39.968847,14.578962294735936,0.08930290323625188,10,COMPLETE
1,1,0.7067673992673993,2023-11-16 07:17:24.344617,2023-11-16 07:19:09.570004,0 days 00:01:45.225387,26.340622696150156,0.020628360518718962,7,COMPLETE
2,2,0.6467673992673993,2023-11-16 07:19:09.577610,2023-11-16 07:20:18.517336,0 days 00:01:08.939726,23.361864243250245,0.09853036403203372,4,COMPLETE
3,3,0.7067673992673993,2023-11-16 07:20:18.522692,2023-11-16 07:21:45.612412,0 days 00:01:27.089720,4.168855944781027,0.09040924095210351,8,COMPLETE
4,4,0.7067673992673993,2023-11-16 07:21:45.621960,2023-11-16 07:23:36.063511,0 days 00:01:50.441551,27.33217100517417,0.05875835026963861,8,COMPLETE
5,5,0.7067673992673993,2023-11-16 07:23:36.070844,2023-11-16 07:26:19.824195,0 days 00:02:43.753351,19.097574628490428,0.086281400074149,10,COMPLETE
6,6,0.6942673992673993,2023-11-16 07:26:19.831061,2023-11-16 07:28:18.892472,0 days 00:01:59.061411,8.612324333662297,0.0729030847694936,9,COMPLETE
7,7,0.7067673992673993,2023-11-16 07:28:18.899187,2023-11-16 07:29:23.684523,0 days 00:01:04.785336,3.07119860654986,0.061865044392359014,4,COMPLETE
8,8,0.7067673992673993,2023-11-16 07:29:23.690903,2023-11-16 07:31:04.308942,0 days 00:01:40.618039,28.109429525144414,0.09898589002773098,7,COMPLETE
9,9,0.6167673992673992,2023-11-16 07:31:04.314066,2023-11-16 07:32:21.428202,0 days 00:01:17.114136,21.498070996340648,0.02441372404120224,4,COMPLETE
10,10,0.7067673992673993,2023-11-16 07:32:21.436616,2023-11-16 07:35:14.426709,0 days 00:02:52.990093,14.298898380389867,0.03235570141706825,10,COMPLETE
11,11,0.6667673992673993,2023-11-16 07:35:14.434602,2023-11-16 07:36:43.147942,0 days 00:01:28.713340,16.356636488113363,0.0014812123272956099,6,COMPLETE
12,12,0.7067673992673993,2023-11-16 07:36:43.159498,2023-11-16 07:38:15.318937,0 days 00:01:32.159439,29.89923609552801,0.045723189203355774,6,COMPLETE
