,precision,recall,f1-score,support
COMPONENT_SHARED,0.0,0.0,0.0,10.0
COMPONENT_USED,0.6387434554973822,1.0,0.779552715654952,122.0
EVALUATION_REUSED,0.0,0.0,0.0,13.0
PREVIOUS_VERSION,0.0,0.0,0.0,16.0
RE-EVALUATION,0.0,0.0,0.0,30.0
accuracy,0.6387434554973822,0.6387434554973822,0.6387434554973822,0.6387434554973822
macro avg,0.12774869109947645,0.2,0.1559105431309904,191.0
weighted avg,0.4079932019407363,0.6387434554973822,0.4979341953398123,191.0
