,precision,recall,f1-score,support
COMPONENT_SHARED,0.8,0.4,0.5333333333333333,10.0
COMPONENT_USED,0.875968992248062,0.9262295081967213,0.9003984063745021,122.0
EVALUATION_REUSED,0.3157894736842105,0.46153846153846156,0.37499999999999994,13.0
PREVIOUS_VERSION,0.3333333333333333,0.0625,0.10526315789473684,16.0
RE-EVALUATION,0.8,0.9333333333333333,0.8615384615384616,30.0
accuracy,0.7958115183246073,0.7958115183246073,0.7958115183246073,0.7958115183246073
macro avg,0.6250183598531212,0.5567202606137032,0.5551066718282067,191.0
weighted avg,0.7764754635889615,0.7958115183246073,0.7727083941544095,191.0
