,precision,recall,f1-score,support
COMPONENT_USED,0.9006622516556292,0.9379310344827586,0.918918918918919,145.0
PREVIOUS_VERSION,0.775,0.6739130434782609,0.7209302325581396,46.0
accuracy,0.8743455497382199,0.8743455497382199,0.8743455497382199,0.8743455497382199
macro avg,0.8378311258278146,0.8059220389805097,0.8199245757385293,191.0
weighted avg,0.8703980444506086,0.8743455497382199,0.8712357797953805,191.0
