,precision,recall,f1-score,support
COMPONENT_SHARED,0.6,0.3,0.4,10.0
COMPONENT_USED,0.889763779527559,0.9262295081967213,0.9076305220883534,122.0
EVALUATION_REUSED,0.2631578947368421,0.38461538461538464,0.3125,13.0
PREVIOUS_VERSION,0.375,0.1875,0.25,16.0
RE-EVALUATION,0.90625,0.9666666666666667,0.9354838709677419,30.0
accuracy,0.8010471204188482,0.8010471204188482,0.8010471204188482,0.8010471204188482
macro avg,0.6068343348528802,0.5530023118957546,0.5611228786112191,191.0
weighted avg,0.7914122185023097,0.8010471204188482,0.7898321456744051,191.0
